# category	subcategory	protein:ID	color	position
Poorly Characterized	Function Unknown	GS115_002767-T1:GS115_002767-T1	rgb(23,44,64)	
Poorly Characterized	Function Unknown	AOA67797.1:GS115_002768-T1	rgb(12,56,68)	
Metabolism	Lipid Transport and Metabolism	YDC1:GS115_002769-T1	rgb(125,39,6)	
Poorly Characterized	Function Unknown	AOA67379.1:GS115_002770-T1	rgb(16,45,67)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	SEN54:GS115_002771-T1	rgb(147,166,178)	
Poorly Characterized	Function Unknown	MTG1:GS115_002772-T1	rgb(18,51,66)	
Metabolism	Amino Acid Transport and Metabolism	ASP3-4:GS115_002773-T1	rgb(243,178,40)	
Information Storage and Processing	Transcription	CKB2:GS115_002774-T1	rgb(115,169,190)	
Information Storage and Processing	Chromatin Structure and Dynamics	HIR2:GS115_002775-T1	rgb(64,81,112)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MSW1:GS115_002776-T1	rgb(158,171,178)	
Poorly Characterized	Function Unknown	YPT35:GS115_002777-T1	rgb(18,53,61)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	TRR1:GS115_002778-T1	rgb(133,71,131)	
Cellular Processes and Signaling	Nuclear Structure	CRM1:GS115_002779-T1	rgb(167,100,135)	
Poorly Characterized	Function Unknown	XP_002491953.1:GS115_002780-T1	rgb(11,54,66)	
Information Storage and Processing	RNA Processing and Modification	IMP3:GS115_002781-T1	rgb(88,137,171)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MRPL6:GS115_002782-T1	rgb(147,172,176)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MRPL9:GS115_002783-T1	rgb(158,171,176)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	AIR2:GS115_002784-T1	rgb(124,76,130)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	THS1:GS115_002785-T1	rgb(151,174,180)	
Poorly Characterized	Function Unknown	YIL077C:GS115_002786-T1	rgb(20,55,62)	
Poorly Characterized	Function Unknown	AOA67207.1:GS115_002787-T1	rgb(14,56,66)	
Metabolism	Energy Production and Conversion	AOA67447.1:GS115_002788-T1	rgb(255,175,52)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	PPM1:GS115_002789-T1	rgb(132,73,121)	
Poorly Characterized	Function Unknown	AOA67127.1:GS115_002790-T1	rgb(10,46,69)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	AXL1:GS115_002791-T1	rgb(133,77,133)	
Information Storage and Processing	Transcription	TAF11:GS115_002792-T1	rgb(119,178,185)	
Metabolism	Lipid Transport and Metabolism	HMG1:GS115_002793-T1	rgb(122,38,10)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	FPR3:GS115_002794-T1	rgb(123,75,122)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RPL6B:GS115_002795-T1	rgb(151,177,178)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	COG8:GS115_002796-T1	rgb(107,56,80)	
Metabolism	Energy Production and Conversion	VMA6:GS115_002797-T1	rgb(250,175,54)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	GRR1:GS115_002798-T1	rgb(194,128,161)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	BET5:GS115_002799-T1	rgb(104,64,74)	
Poorly Characterized	Function Unknown	AOA67960.1:GS115_002800-T1	rgb(20,50,66)	
Poorly Characterized	Function Unknown	AOA67063.1:GS115_002801-T1	rgb(19,46,60)	
Poorly Characterized	Function Unknown	MSS51:GS115_002802-T1	rgb(12,44,57)	
Poorly Characterized	Function Unknown	AOA67636.1:GS115_002803-T1	rgb(12,53,62)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	TSA1:GS115_002804-T1	rgb(124,82,126)	
Metabolism	Nucleotide Transport and Metabolism	GUK1:GS115_002805-T1	rgb(246,201,68)	
Poorly Characterized	Function Unknown	PTH2:GS115_002806-T1	rgb(23,54,61)	
Poorly Characterized	Function Unknown	AOA68129.1:GS115_002807-T1	rgb(12,51,61)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	PTC2:GS115_002808-T1	rgb(190,132,157)	
Information Storage and Processing	Replication, Recombination and Repair	YBL055C:GS115_002809-T1	rgb(52,100,125)	
Information Storage and Processing	Transcription	TOD6:GS115_002811-T1	rgb(107,173,194)	
Information Storage and Processing	Chromatin Structure and Dynamics	SAS3:GS115_002812-T1	rgb(65,83,109)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	TRM12:GS115_002813-T1	rgb(148,168,173)	
Information Storage and Processing	RNA Processing and Modification	PIN4:GS115_002814-T1	rgb(82,140,163)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	SBH2:GS115_002815-T1	rgb(95,62,73)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	AIM10:GS115_002816-T1	rgb(158,177,182)	
Poorly Characterized	Function Unknown	AOA67440.1:GS115_002817-T1	rgb(20,43,57)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	PEX13:GS115_002818-T1	rgb(98,64,80)	
Poorly Characterized	Function Unknown	AOA67369.1:GS115_002819-T1	rgb(19,46,68)	
Poorly Characterized	Function Unknown	WWM1:GS115_002820-T1	rgb(19,53,67)	
Cellular Processes and Signaling	Cell Wall/Membrane/Envelope Biogenesis	SAM50:GS115_002821-T1	rgb(172,106,165)	
Metabolism	Coenzyme Transport and Metabolism	CAB2:GS115_002822-T1	rgb(248,155,29)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	UBP1:GS115_002823-T1	rgb(124,77,127)	
Poorly Characterized	Function Unknown	AOA66984.1:GS115_002824-T1	rgb(11,43,62)	
Information Storage and Processing	Transcription	CRZ1:GS115_002825-T1	rgb(117,178,185)	
Information Storage and Processing	Transcription	SDS3:GS115_002826-T1	rgb(113,173,195)	
Metabolism	Carbohydrate Transport and Metabolism	KTR5:GS115_002827-T1	rgb(232,134,21)	
Information Storage and Processing	Chromatin Structure and Dynamics	HHF2:GS115_002828-T1	rgb(53,91,106)	
Information Storage and Processing	Chromatin Structure and Dynamics	HHT2:GS115_002829-T1	rgb(60,81,105)	
Poorly Characterized	Function Unknown	AIM19:GS115_002830-T1	rgb(12,44,61)	
Cellular Processes and Signaling	Defense Mechanisms	SIW14:GS115_002831-T1	rgb(111,74,125)	
Information Storage and Processing	RNA Processing and Modification	UTP25:GS115_002832-T1	rgb(87,149,169)	
Poorly Characterized	Function Unknown	ICE2:GS115_002833-T1	rgb(20,43,68)	
Information Storage and Processing	Transcription	SSN8:GS115_002834-T1	rgb(108,170,193)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	LAC1:GS115_002835-T1	rgb(99,56,73)	
Metabolism	Amino Acid Transport and Metabolism	AVT7:GS115_002836-T1	rgb(240,188,37)	
Poorly Characterized	Function Unknown	AOA67070.1:GS115_002837-T1	rgb(12,56,65)	
Poorly Characterized	Function Unknown	GPI15:GS115_002838-T1	rgb(18,54,63)	
Information Storage and Processing	Transcription	BDP1:GS115_002839-T1	rgb(112,172,190)	
Poorly Characterized	Function Unknown	YNL035C:GS115_002840-T1	rgb(14,46,64)	
Information Storage and Processing	RNA Processing and Modification	CWC2:GS115_002841-T1	rgb(94,140,170)	
Information Storage and Processing	RNA Processing and Modification	PRP28:GS115_002842-T1	rgb(88,144,170)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	PEX5:GS115_002843-T1	rgb(94,60,84)	
Metabolism	Carbohydrate Transport and Metabolism	MNN10:GS115_002844-T1	rgb(229,126,16)	
Information Storage and Processing	Transcription	SWI1:GS115_002845-T1	rgb(107,171,185)	
Information Storage and Processing	Replication, Recombination and Repair	RAD1:GS115_002846-T1	rgb(45,100,131)	
Poorly Characterized	Function Unknown	GS115_002847-T1:GS115_002847-T1	rgb(15,49,58)	
Metabolism	Amino Acid Transport and Metabolism	MET13:GS115_002848-T1	rgb(242,182,41)	
Poorly Characterized	Function Unknown	RMI1:GS115_002849-T1	rgb(22,45,69)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	TRS23:GS115_002850-T1	rgb(100,67,83)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	VHS1:GS115_002851-T1	rgb(191,134,151)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	UIP5:GS115_002852-T1	rgb(102,56,73)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	AOA67792.1:GS115_002853-T1	rgb(133,75,131)	
Metabolism	Carbohydrate Transport and Metabolism	SHB17:GS115_002854-T1	rgb(239,132,16)	
Poorly Characterized	Function Unknown	AOA66996.1:GS115_002855-T1	rgb(10,49,60)	
Poorly Characterized	Function Unknown	AOA67487.1:GS115_002856-T1	rgb(19,44,59)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	APM4:GS115_002857-T1	rgb(96,59,81)	
Metabolism	Nucleotide Transport and Metabolism	PRS5:GS115_002858-T1	rgb(249,199,60)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	RTK1:GS115_002859-T1	rgb(183,127,160)	
Metabolism	Inorganic Ion Transport and Metabolism	MAM3:GS115_002860-T1	rgb(141,54,1)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	NAP1:GS115_002861-T1	rgb(117,64,112)	
Poorly Characterized	Function Unknown	AOA67441.1:GS115_002862-T1	rgb(15,49,63)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RSM25:GS115_002863-T1	rgb(151,176,179)	
Metabolism	Energy Production and Conversion	XP_002492034.1:GS115_002864-T1	rgb(255,174,45)	
Information Storage and Processing	Transcription	FAP1:GS115_002865-T1	rgb(116,170,188)	
Metabolism	Amino Acid Transport and Metabolism	LYS12:GS115_002866-T1	rgb(250,188,37)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	RCM1:GS115_002867-T1	rgb(128,71,106)	
Poorly Characterized	Function Unknown	JHD2:GS115_002868-T1	rgb(21,46,60)	
Metabolism	Energy Production and Conversion	ATP2:GS115_002869-T1	rgb(245,176,53)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	STE24:GS115_002870-T1	rgb(125,81,125)	
Information Storage and Processing	Transcription	SRB4:GS115_002871-T1	rgb(112,169,186)	
Metabolism	Coenzyme Transport and Metabolism	YDL144C:GS115_002872-T1	rgb(245,161,33)	
Metabolism	Nucleotide Transport and Metabolism	ADO1:GS115_002873-T1	rgb(252,206,66)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	TDA4:GS115_002874-T1	rgb(183,129,157)	
Metabolism	Amino Acid Transport and Metabolism	AVT6:GS115_002875-T1	rgb(242,178,38)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MRP21:GS115_002876-T1	rgb(152,178,174)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	MAP2:GS115_002877-T1	rgb(123,79,127)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	SCS2:GS115_002878-T1	rgb(94,58,81)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	LCL2:GS115_002879-T1	rgb(122,82,126)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	SEN2:GS115_002880-T1	rgb(146,173,180)	
Poorly Characterized	Function Unknown	AOA67584.1:GS115_002881-T1	rgb(17,52,57)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	AOA67097.1:GS115_002882-T1	rgb(121,61,103)	
Information Storage and Processing	Transcription	RFX1:GS115_002883-T1	rgb(108,178,186)	
Information Storage and Processing	Chromatin Structure and Dynamics	AOA67880.1:GS115_002884-T1	rgb(65,81,112)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	SIS1:GS115_002885-T1	rgb(121,74,126)	
Poorly Characterized	Function Unknown	LST8:GS115_002886-T1	rgb(17,55,69)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	CBF5:GS115_002887-T1	rgb(158,167,177)	
Poorly Characterized	Function Unknown	GS115_002888-T1:GS115_002888-T1	rgb(17,45,68)	
Cellular Processes and Signaling	Cell Wall/Membrane/Envelope Biogenesis	PST1:GS115_002889-T1	rgb(167,107,169)	
Metabolism	Carbohydrate Transport and Metabolism	AOA67484.1:GS115_002890-T1	rgb(229,133,13)	
Poorly Characterized	Function Unknown	AOA67238.1:GS115_002891-T1	rgb(13,52,59)	
Metabolism	Amino Acid Transport and Metabolism	MET13:GS115_002892-T1	rgb(237,188,45)	
Information Storage and Processing	Transcription	BUD31:GS115_002893-T1	rgb(113,174,196)	
Metabolism	Inorganic Ion Transport and Metabolism	TRK2:GS115_002894-T1	rgb(132,59,7)	
Metabolism	Carbohydrate Transport and Metabolism	URA2:GS115_002895-T1	rgb(235,130,23)	
Information Storage and Processing	Transcription	SPT10:GS115_002896-T1	rgb(109,167,197)	
Information Storage and Processing	Transcription	SPT10:GS115_002897-T1	rgb(111,171,192)	
Poorly Characterized	Function Unknown	AOA68163.1:GS115_002898-T1	rgb(14,43,66)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	PTH1:GS115_002899-T1	rgb(154,170,177)	
Metabolism	Amino Acid Transport and Metabolism	CYS4:GS115_002900-T1	rgb(244,188,41)	
Poorly Characterized	Function Unknown	YGL041W-A:GS115_002901-T1	rgb(18,45,67)	
Information Storage and Processing	Transcription	DST1:GS115_002902-T1	rgb(116,166,197)	
Information Storage and Processing	RNA Processing and Modification	RNA15:GS115_002903-T1	rgb(82,144,159)	
Information Storage and Processing	RNA Processing and Modification	PTI1:GS115_002904-T1	rgb(89,150,161)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	SEC9:GS115_002905-T1	rgb(103,65,82)	
Metabolism	Energy Production and Conversion	AOA68141.1:GS115_002906-T1	rgb(252,168,50)	
Metabolism	Inorganic Ion Transport and Metabolism	CTA1:GS115_002907-T1	rgb(141,51,0)	
Information Storage and Processing	RNA Processing and Modification	LCP5:GS115_002908-T1	rgb(93,141,161)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	NSA2:GS115_002909-T1	rgb(151,178,174)	
Information Storage and Processing	Transcription	STH1:GS115_002910-T1	rgb(111,170,191)	
Metabolism	Energy Production and Conversion	CCP1:GS115_002911-T1	rgb(251,174,49)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	PAM17:GS115_002912-T1	rgb(96,67,80)	
Metabolism	Carbohydrate Transport and Metabolism	MNN11:GS115_002913-T1	rgb(229,130,15)	
Poorly Characterized	Function Unknown	YOL107W:GS115_002914-T1	rgb(21,46,64)	
Information Storage and Processing	Transcription	INO4:GS115_002915-T1	rgb(107,178,190)	
Information Storage and Processing	Transcription	IBA57:GS115_002916-T1	rgb(116,170,192)	
Information Storage and Processing	Transcription	GON7:GS115_002917-T1	rgb(109,170,195)	
Poorly Characterized	Function Unknown	AOA67488.1:GS115_002918-T1	rgb(15,44,66)	
Metabolism	Energy Production and Conversion	ATP12:GS115_002919-T1	rgb(254,171,56)	
Poorly Characterized	Function Unknown	AOA67299.1:GS115_002920-T1	rgb(19,43,62)	
Poorly Characterized	Function Unknown	AOA67862.1:GS115_002921-T1	rgb(23,50,63)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	GTT1:GS115_002922-T1	rgb(131,75,126)	
Metabolism	Inorganic Ion Transport and Metabolism	BOR1:GS115_002923-T1	rgb(140,59,0)	
Poorly Characterized	Function Unknown	PER1:GS115_002924-T1	rgb(13,47,66)	
Metabolism	Lipid Transport and Metabolism	INO1:GS115_002925-T1	rgb(113,45,4)	
Metabolism	Nucleotide Transport and Metabolism	AOA67245.1:GS115_002926-T1	rgb(255,204,60)	
Metabolism	Energy Production and Conversion	GPD1:GS115_002927-T1	rgb(252,175,50)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	PFD1:GS115_002928-T1	rgb(128,72,120)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	ATG27:GS115_002929-T1	rgb(94,56,76)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RPL17B:GS115_002930-T1	rgb(159,175,175)	
Poorly Characterized	Function Unknown	AOA67893.1:GS115_002931-T1	rgb(16,47,57)	
Metabolism	Carbohydrate Transport and Metabolism	AOA67614.1:GS115_002932-T1	rgb(232,131,15)	
Poorly Characterized	Function Unknown	UTP30:GS115_002933-T1	rgb(22,46,57)	
Metabolism	Carbohydrate Transport and Metabolism	KTR2:GS115_002934-T1	rgb(231,131,14)	
Information Storage and Processing	Transcription	RPB4:GS115_002935-T1	rgb(116,170,196)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	YAK1:GS115_002936-T1	rgb(191,132,156)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	TIM17:GS115_002937-T1	rgb(107,57,76)	
Metabolism	Amino Acid Transport and Metabolism	TPO5:GS115_002938-T1	rgb(242,177,41)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	SNU114:GS115_002939-T1	rgb(149,171,184)	
Information Storage and Processing	RNA Processing and Modification	EBP2:GS115_002940-T1	rgb(82,147,164)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	ULP1:GS115_002941-T1	rgb(129,77,133)	
Information Storage and Processing	RNA Processing and Modification	YME2:GS115_002942-T1	rgb(92,140,164)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	BEM2:GS115_002943-T1	rgb(193,130,151)	
Cellular Processes and Signaling	Cell Wall/Membrane/Envelope Biogenesis	CHS2:GS115_002944-T1	rgb(162,108,162)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	SEN34:GS115_002945-T1	rgb(149,175,182)	
Poorly Characterized	Function Unknown	YER156C:GS115_002946-T1	rgb(10,54,62)	
Poorly Characterized	Function Unknown	PET100:GS115_002947-T1	rgb(19,54,61)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	TVP23:GS115_002948-T1	rgb(106,68,71)	
Poorly Characterized	Function Unknown	AOA68092.1:GS115_002949-T1	rgb(23,46,68)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	PUF4:GS115_002950-T1	rgb(147,174,182)	
Poorly Characterized	Function Unknown	YGR149W:GS115_002951-T1	rgb(18,48,57)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	ARF1:GS115_002952-T1	rgb(105,65,75)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	MRPS5:GS115_002953-T1	rgb(153,176,178)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	DJP1:GS115_002954-T1	rgb(123,73,132)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	SAT4:GS115_002955-T1	rgb(190,130,150)	
Metabolism	Inorganic Ion Transport and Metabolism	PHO8:GS115_002956-T1	rgb(133,61,5)	
Metabolism	Nucleotide Transport and Metabolism	RPA34:GS115_002957-T1	rgb(247,205,58)	
Poorly Characterized	Function Unknown	AOA67109.1:GS115_002958-T1	rgb(16,47,60)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	TIM50:GS115_002959-T1	rgb(100,66,81)	
Metabolism	Energy Production and Conversion	AIF1:GS115_002960-T1	rgb(249,165,51)	
Metabolism	Energy Production and Conversion	AIF1:GS115_002961-T1	rgb(255,166,54)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	ARL3:GS115_002962-T1	rgb(97,57,74)	
Metabolism	Coenzyme Transport and Metabolism	YER010C:GS115_002963-T1	rgb(250,165,32)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	SFH5:GS115_002964-T1	rgb(106,66,78)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	YDJ1:GS115_002965-T1	rgb(130,81,123)	
Metabolism	Carbohydrate Transport and Metabolism	MCD4:GS115_002966-T1	rgb(237,134,21)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	ABZ1:GS115_002967-T1	rgb(151,168,176)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	IMG2:GS115_002968-T1	rgb(153,172,180)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	YEL1:GS115_002969-T1	rgb(99,58,75)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	PUP3:GS115_002970-T1	rgb(126,73,130)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	CMC2:GS115_002971-T1	rgb(125,79,129)	
Poorly Characterized	Function Unknown	MTC1:GS115_002972-T1	rgb(13,47,60)	
Poorly Characterized	Function Unknown	AOA66922.1:GS115_002973-T1	rgb(22,49,64)	
Metabolism	Amino Acid Transport and Metabolism	NIT2:GS115_002974-T1	rgb(249,185,37)	
Cellular Processes and Signaling	Cytoskeleton  Cellular Processes and Signaling	ARP5:GS115_002975-T1	rgb(75,48,72)	
Cellular Processes and Signaling	Cytoskeleton  Cellular Processes and Signaling	SRV2:GS115_002976-T1	rgb(66,58,71)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	YDJ1:GS115_002977-T1	rgb(123,80,129)	
Metabolism	Carbohydrate Transport and Metabolism	AQR1:GS115_002978-T1	rgb(241,128,21)	
Poorly Characterized	Function Unknown	AOA67284.1:GS115_002979-T1	rgb(19,43,59)	
Cellular Processes and Signaling	Cell Wall/Membrane/Envelope Biogenesis	SUN4:GS115_002980-T1	rgb(163,104,157)	
Poorly Characterized	Function Unknown	GS115_002981-T1:GS115_002981-T1	rgb(23,45,59)	
Metabolism	Secondary Metabolites Biosynthesis, Transport and Catabolism	AYR1:GS115_002982-T1	rgb(189,92,12)	
Poorly Characterized	Function Unknown	GDT1:GS115_002983-T1	rgb(10,48,59)	
Poorly Characterized	Function Unknown	AOA67944.1:GS115_002984-T1	rgb(13,46,69)	
Information Storage and Processing	Transcription	MOT1:GS115_002985-T1	rgb(111,169,190)	
Metabolism	Carbohydrate Transport and Metabolism	PFK26:GS115_002986-T1	rgb(230,126,15)	
Metabolism	Nucleotide Transport and Metabolism	YNK1:GS115_002987-T1	rgb(253,205,61)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	YGR054W:GS115_002988-T1	rgb(149,168,184)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	OTU1:GS115_002989-T1	rgb(132,84,129)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	RPN11:GS115_002990-T1	rgb(185,135,150)	
Information Storage and Processing	RNA Processing and Modification	BUD20:GS115_002991-T1	rgb(82,147,162)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RPL10:GS115_002992-T1	rgb(155,166,176)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	RPL10:GS115_002992-T2	rgb(159,177,184)	
Metabolism	Carbohydrate Transport and Metabolism	SEC53:GS115_002993-T1	rgb(235,131,13)	
Poorly Characterized	Function Unknown	FMP32:GS115_002994-T1	rgb(16,48,57)	
Cellular Processes and Signaling	Cytoskeleton  Cellular Processes and Signaling	FMP25:GS115_002995-T1	rgb(68,60,71)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	BOS1:GS115_002996-T1	rgb(96,67,71)	
Information Storage and Processing	Transcription	RSC1:GS115_002997-T1	rgb(115,169,195)	
Information Storage and Processing	Transcription	HST1:GS115_002998-T1	rgb(117,172,189)	
Metabolism	Energy Production and Conversion	LPD1:GS115_002999-T1	rgb(250,173,46)	
Metabolism	Carbohydrate Transport and Metabolism	YIL166C:GS115_003000-T1	rgb(241,137,21)	
Poorly Characterized	Function Unknown	IMO32:GS115_003001-T1	rgb(22,43,67)	
Information Storage and Processing	Translation, Ribosomal Structure and Biogenesis	UTP10:GS115_003002-T1	rgb(153,175,178)	
Metabolism	Lipid Transport and Metabolism	CDS1:GS115_003003-T1	rgb(126,39,7)	
Information Storage and Processing	Transcription	PHO2:GS115_003004-T1	rgb(112,176,194)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	EAR1:GS115_003005-T1	rgb(99,67,80)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	KIN28:GS115_003006-T1	rgb(122,71,109)	
Metabolism	Energy Production and Conversion	AOA68112.1:GS115_003007-T1	rgb(255,175,45)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	DUN1:GS115_003008-T1	rgb(127,65,107)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	CYK3:GS115_003009-T1	rgb(130,71,109)	
Metabolism	Carbohydrate Transport and Metabolism	GPI10:GS115_003012-T1	rgb(237,131,17)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	PTK2:GS115_003013-T1	rgb(187,132,157)	
Poorly Characterized	Function Unknown	LAA1:GS115_003014-T1	rgb(17,51,59)	
Metabolism	Carbohydrate Transport and Metabolism	ALG9:GS115_003015-T1	rgb(240,131,22)	
Cellular Processes and Signaling	Cell Cycle Control, Cell Division, Chromosome Partitioning	AOA67577.1:GS115_003016-T1	rgb(127,62,102)	
Metabolism	Inorganic Ion Transport and Metabolism	PHO13:GS115_003017-T1	rgb(142,58,6)	
Cellular Processes and Signaling	Signal Transduction Mechanisms	YPD1:GS115_003018-T1	rgb(193,125,154)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	VID27:GS115_003019-T1	rgb(96,61,83)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	RRG9:GS115_003020-T1	rgb(128,75,124)	
Cellular Processes and Signaling	Intracellular Trafficking, Secretion and Vesicular Transport	ATG20:GS115_003021-T1	rgb(100,58,84)	
Cellular Processes and Signaling	Cytoskeleton  Cellular Processes and Signaling	ARC15:GS115_003022-T1	rgb(67,50,73)	
Poorly Characterized	Function Unknown	YML108W:GS115_003023-T1	rgb(12,56,61)	
Information Storage and Processing	RNA Processing and Modification	SNP1:GS115_003024-T1	rgb(94,139,171)	
Metabolism	Inorganic Ion Transport and Metabolism	YBR220C:GS115_003025-T1	rgb(130,62,12)	
Metabolism	Lipid Transport and Metabolism	SCS3:GS115_003026-T1	rgb(116,49,9)	
Information Storage and Processing	Transcription	SOH1:GS115_003027-T1	rgb(120,178,196)	
Poorly Characterized	Function Unknown	AOA67309.1:GS115_003029-T1	rgb(23,50,69)	
Metabolism	Energy Production and Conversion	PYC2:GS115_003030-T1	rgb(255,174,51)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	BUL1:GS115_003031-T1	rgb(129,79,123)	
Cellular Processes and Signaling	Post-Translational Modification, Protein Turnover and Chaperones	BUL1:GS115_003032-T1	rgb(129,79,123)	
Metabolism	Nucleotide Transport and Metabolism	URA1:GS115_003033-T1	rgb(255,203,68)	
Metabolism	Secondary Metabolites Biosynthesis, Transport and Catabolism	SPS19:GS115_003034-T1	rgb(182,93,7)	
Poorly Characterized	Function Unknown	YBL086C:GS115_003035-T1	rgb(12,55,64)	
Metabolism	Nucleotide Transport and Metabolism	YND1:GS115_003036-T1	rgb(250,201,64)	
Poorly Characterized	Function Unknown	RHB1:GS115_003037-T1	rgb(10,49,59)	
